,,,,Online Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Segmentation,,,,Number of People Purchasing Consumer Goods Via Online Channels,, Total B2C Consumer Goods Spend ,, Avg Annual Revenue Per Consumer Goods Ecommerce Shopper ,,Online Purchases vs Total Consumer Goods Purchase Value Across All Retail Channels,," Estimated Annual Spend In Each Consumer Goods Ecommerce Category (B2C Only, $Billions USD, Full-Year 2025) ",,,,,,,,,,,,,Share of 2024 B2C Ecommerce Transaction Value Attributable to Each Type of Payment Method,,,,,Percentage of Internet Users Aged 16+ Who Say Each Factor Would Encourage Them to Complete an Online Purchase,,,,,,,,,,,,,,,,
Business Region,Market Region,ISO2,Country,Number (In Millions),YoY Increase, Amount ($Billions USD) ,YoY Increase, Amount ($ USD) ,YoY Increase,Percent,YoY Increase, Fashion , Food , Furniture , Electronics , Beverages , Beauty & Personal Care , DIY & Hardware , Toys & Hobby , Tobacco , Household Essentials , OTC Pharmaceuticals , Eyewear , Physical Media ,Mobile & Digital Wallets,Debit & Credit Cards,Account-To-Account Transfers (A2A),Buy Now Pay Later Services,Other Payment Methods,Free Delivery,Next Day Delivery,Coupons & Discounts,Simple Online Checkout,Customer Reviews,Easy Returns Policy,Loyalty Points,Interest Free Payments,Eco-Friendly Credentials,Guest Checkout,Click and Collect,Social Likes & Comments,Influencer Recommendations,Exclusive Content Or Services,Social Buy Buttons,Link to Data,
EMEA,Western Europe,GR,Greece,4.7,6.8%, $3.8 ,9.5%, $803 ,3.2%,9.3%,5.7%, $1.52 , $0.20 , $0.42 , $0.44 , $0.05 , $0.42 , $0.20 , $0.12 ,, $0.17 , $0.15 , $0.03 , $0.05 ,,,,,,59.7%,25.0%,49.6%,35.9%,39.9%,30.8%,39.8%,23.0%,13.8%,22.8%,14.2%,17.6%,7.8%,8.1%,,https://datareportal.com/reports/digital-2026-greece,
EMEA,Eastern Europe,BG,Bulgaria,2.42,8.2%, $1.6 ,13.2%, $669 ,4.7%,8.8%,8.6%, $0.48 , $0.32 , $0.12 , $0.27 , $0.07 , $0.11 , $0.07 , $0.05 ,, $0.04 , $0.05 , $0.03 , $0.02 ,,,,,,52.1%,24.1%,36.1%,33.7%,19.3%,32.9%,29.9%,13.3%,10.5%,20.8%,9.1%,12.9%,7.6%,6.6%,,https://datareportal.com/reports/digital-2026-bulgaria,
EMEA,Eastern Europe,HR,Croatia,1.75,7.1%, $1.4 ,11.2%, $770 ,3.8%,9.6%,6.7%, $0.50 , $0.13 , $0.12 , $0.22 , $0.05 , $0.10 , $0.06 , $0.08 ,, $0.04 , $0.03 , $0.03 , $0.01 ,,,,,,64.8%,27.2%,59.5%,33.5%,35.4%,31.0%,41.8%,13.1%,13.7%,22.3%,18.7%,14.4%,,9.1%,6.1%,https://datareportal.com/reports/digital-2026-croatia,
EMEA,Eastern Europe,RS,Serbia,2.48,7.5%, $1.1 ,11.8%, $454 ,4.0%,7.3%,5.8%, $0.38 , $0.11 , $0.02 , $0.18 , $0.05 , $0.11 , $0.06 , $0.09 , $0.01 , $0.03 , $0.05 , $0.02 , $0.01 ,,,,,,61.3%,27.0%,52.6%,28.9%,36.8%,28.1%,33.3%,15.0%,12.8%,15.3%,12.9%,16.5%,11.9%,10.5%,,https://datareportal.com/reports/digital-2026-serbia,
APAC,Australia & New Zealand,AU,Australia,23,6.5%, $39.4 ,13.2%," $1,708 ",5.9%,24.8%,9.3%, $10.90 , $5.79 , $3.83 , $3.52 , $4.14 , $2.92 , $3.77 , $1.30 , $0.59 , $0.74 , $1.08 , $0.29 , $0.49 ,39%,39%,4%,15%,3%,63.0%,29.3%,41.1%,31.7%,36.2%,34.4%,38.0%,16.9%,15.2%,20.7%,25.4%,14.1%,10.2%,8.3%,5.5%,https://datareportal.com/reports/digital-2026-australia,
APAC,Australia & New Zealand,NZ,New Zealand,3.78,6.2%, $6.2 ,13.4%," $1,645 ",6.8%,15.7%,9.0%, $1.80 , $0.61 , $1.01 , $0.62 , $0.66 , $0.45 , $0.15 , $0.21 , $0.43 , $0.08 , $0.09 , $0.05 , $0.07 ,29%,49%,9%,13%,0%,68.5%,28.6%,43.7%,36.2%,41.6%,34.5%,39.6%,21.8%,17.7%,22.3%,30.3%,17.7%,12.5%,11.4%,7.3%,https://datareportal.com/reports/digital-2026-new-zealand,
APAC,East Asia,CN,China,1050,10.3%," $1,010.0 ",14.0%, $961 ,3.4%,33.5%,8.4%, $221.00 , $360.00 , $23.00 , $82.40 , $27.40 , $18.70 , $105.00 , $20.70 , $84.30 , $48.50 , $12.00 , $3.78 , $5.57 ,84%,9%,2%,4%,1%,32.5%,22.6%,27.5%,22.0%,21.6%,24.3%,19.4%,15.2%,18.1%,,15.6%,25.0%,17.4%,15.9%,16.7%,https://datareportal.com/reports/digital-2026-china,
APAC,East Asia,HK,Hong Kong,6.1,8.9%, $5.1 ,11.7%, $841 ,2.3%,9.2%,5.7%, $2.86 , $0.46 , $0.60 , $0.38 , $0.12 , $0.26 , $0.13 , $0.11 , $0.04 , $0.07 , $0.01 , $0.02 , $0.07 ,36%,45%,15%,1%,3%,55.1%,19.9%,41.8%,27.0%,26.2%,25.7%,22.1%,13.6%,12.9%,18.2%,22.2%,20.6%,,15.0%,13.1%,https://datareportal.com/reports/digital-2026-hong-kong,
APAC,South Asia,IN,India,356,13.7%, $65.7 ,17.7%, $185 ,3.5%,5.5%,10.0%, $20.10 , $21.30 , $0.85 , $8.62 , $1.52 , $3.10 , $3.03 , $0.69 , $2.47 , $2.35 , $0.42 , $0.12 , $1.14 ,64%,25%,4%,3%,4%,49.2%,31.0%,35.3%,25.8%,33.2%,41.4%,27.8%,17.0%,21.8%,,20.7%,25.2%,20.3%,17.8%,17.1%,https://datareportal.com/reports/digital-2026-india,
APAC,South Asia,PK,Pakistan,71.9,11.9%, $4.7 ,12.6%, $265 ,1.0%,3.0%,3.4%, $1.45 , $0.24 , $0.06 , $2.00 , $0.04 , $0.37 , $0.20 , $0.12 , $0.01 , $0.16 , $0.08 , $0.02 , $0.01 ,,,,,,,,,,,,,,,,,,,,,https://datareportal.com/reports/digital-2026-pakistan,
